    0.01000000	    2.98368075
    0.04000000	    3.07746174
    0.07000000	    2.27410409
    0.10000000	    2.53020925
    0.13000000	    2.75411579
    0.16000000	    3.48200020
    0.19000000	    2.73533414
    0.22000000	    1.85047642
    0.25000000	    1.94893081
    0.28000000	    1.61834556
    0.31000000	    1.52787386
    0.34000000	    1.59742335
    0.37000000	    1.64034264
    0.40000000	    1.64647429
    0.43000000	    1.59791302
    0.46000000	    1.64607993
    0.49000000	    1.72812948
    0.52000000	    1.80376265
    0.55000000	    1.85500674
    0.58000000	    1.80602459
    0.61000000	    1.73188101
    0.64000000	    1.73688706
    0.67000000	    1.76636496
    0.70000000	    1.82096157
    0.73000000	    1.88872086
    0.76000000	    1.90331499
    0.79000000	    1.89697570
    0.82000000	    1.88345165
    0.85000000	    1.85674288
    0.88000000	    1.88928055
    0.91000000	    1.91787535
    0.94000000	    1.93636894
    0.97000000	    1.92481354
    1.00000000	    1.90284532
