    0.01000000	    3.43498423
    0.04000000	    1.79197146
    0.07000000	    1.50190178
    0.10000000	    1.37464734
    0.13000000	    1.22093818
    0.16000000	    1.28107280
    0.19000000	    1.43570332
    0.22000000	    1.32222246
    0.25000000	    1.43466805
    0.28000000	    1.38606040
    0.31000000	    1.28443542
    0.34000000	    1.13869084
    0.37000000	    1.07614664
    0.40000000	    1.15187806
    0.43000000	    1.17693919
    0.46000000	    1.16768971
    0.49000000	    1.20951521
    0.52000000	    1.28808716
    0.55000000	    1.33942174
    0.58000000	    1.36025555
    0.61000000	    1.44343762
    0.64000000	    1.54736851
    0.67000000	    1.66824386
    0.70000000	    1.72724031
    0.73000000	    1.75481863
    0.76000000	    1.76369541
    0.79000000	    1.81039110
    0.82000000	    1.86801821
    0.85000000	    1.97424736
    0.88000000	    2.05387011
    0.91000000	    2.09700406
    0.94000000	    2.14754518
    0.97000000	    2.18815712
    1.00000000	    2.23427427
